lat_lon,Decade,Deaths,Latitude,Longitude,Units
40.6152755-73.92817303,1950s,2,40.6152755,-73.92817303,ENGINE 309
40.61994178-74.01252256,1920s,1,40.61994178,-74.01252256,"ENGINE 284, LADDER 149"
40.61994178-74.01252256,1930s,1,40.61994178,-74.01252256,"ENGINE 284, LADDER 149"
40.61994178-74.01252256,1960s,1,40.61994178,-74.01252256,"ENGINE 284, LADDER 149"
40.61994178-74.01252256,1970s,1,40.61994178,-74.01252256,"ENGINE 284, LADDER 149"
40.6200908-73.91583446,1970s,1,40.6200908,-73.91583446,ENGINE 323
40.62495823-74.07766631,1930s,1,40.62495823,-74.07766631,"ENGINE 153, LADDER 77"
40.62495823-74.07766631,1960s,1,40.62495823,-74.07766631,"ENGINE 153, LADDER 77"
40.62780476-73.97559626,1930s,1,40.62780476,-73.97559626,ENGINE 250
40.62780476-73.97559626,1960s,1,40.62780476,-73.97559626,ENGINE 250
40.62802142-73.99772679,1960s,1,40.62802142,-73.99772679,ENGINE 247
40.63097841-74.11675877,1910s,1,40.63097841,-74.11675877,ENGINE 156
40.63097841-74.11675877,1950s,1,40.63097841,-74.11675877,ENGINE 156
40.63097841-74.11675877,1960s,3,40.63097841,-74.11675877,ENGINE 156
40.63439637-74.12198041,1940s,1,40.63439637,-74.12198041,BATTALION 22
40.63627012-74.13537613,1980s,1,40.63627012,-74.13537613,LADDER 80
40.63643412-73.95065388,1940s,1,40.63643412,-73.95065388,LADDER 157
40.63754736-74.08772946,1920s,1,40.63754736,-74.08772946,"ENGINE 155, LADDER 78"
40.63754736-74.08772946,1950s,1,40.63754736,-74.08772946,"ENGINE 155, LADDER 78"
40.63754736-74.08772946,2000s,1,40.63754736,-74.08772946,"ENGINE 155, LADDER 78"
40.63815306-74.02513761,1900s,1,40.63815306,-74.02513761,"ENGINE 241, LADDER 109"
40.63815306-74.02513761,1930s,1,40.63815306,-74.02513761,"ENGINE 241, LADDER 109"
40.63815306-74.02513761,1970s,1,40.63815306,-74.02513761,"ENGINE 241, LADDER 109"
40.63995575-73.96662777,1930s,1,40.63995575,-73.96662777,"ENGINE 281, LADDER 147"
40.63995575-73.96662777,1950s,2,40.63995575,-73.96662777,"ENGINE 281, LADDER 147"
40.64019138-73.99073687,1910s,1,40.64019138,-73.99073687,"ENGINE 282, LADDER 148"
40.64019138-73.99073687,1930s,1,40.64019138,-73.99073687,"ENGINE 282, LADDER 148"
40.64019138-73.99073687,1940s,1,40.64019138,-73.99073687,"ENGINE 282, LADDER 148"
40.64019138-73.99073687,1950s,1,40.64019138,-73.99073687,"ENGINE 282, LADDER 148"
40.6453868-74.01322029,1910s,1,40.6453868,-74.01322029,"BATTALION 40, ENGINE 201, LADDER 114"
40.6453868-74.01322029,1930s,2,40.6453868,-74.01322029,"BATTALION 40, ENGINE 201, LADDER 114"
40.6453868-74.01322029,1950s,1,40.6453868,-74.01322029,"BATTALION 40, ENGINE 201, LADDER 114"
40.6453868-74.01322029,1960s,1,40.6453868,-74.01322029,"BATTALION 40, ENGINE 201, LADDER 114"
40.6453868-74.01322029,1970s,1,40.6453868,-74.01322029,"BATTALION 40, ENGINE 201, LADDER 114"
40.64658292-73.90361654,1900s,1,40.64658292,-73.90361654,"ENGINE 257, LADDER 170"
40.64658292-73.90361654,1910s,1,40.64658292,-73.90361654,"ENGINE 257, LADDER 170"
40.64658292-73.90361654,1940s,1,40.64658292,-73.90361654,"ENGINE 257, LADDER 170"
40.64658292-73.90361654,1990s,1,40.64658292,-73.90361654,"ENGINE 257, LADDER 170"
40.65042333-73.92890288,1960s,1,40.65042333,-73.92890288,ENGINE 310
40.65118945-73.97546053,1900s,1,40.65118945,-73.97546053,"BATTALION 48, ENGINE 240"
40.65118945-73.97546053,1930s,1,40.65118945,-73.97546053,"BATTALION 48, ENGINE 240"
40.65118945-73.97546053,1940s,3,40.65118945,-73.97546053,"BATTALION 48, ENGINE 240"
40.65118945-73.97546053,1950s,1,40.65118945,-73.97546053,"BATTALION 48, ENGINE 240"
40.6518228-74.00529574,1970s,1,40.6518228,-74.00529574,ENGINE 228
40.65924119-73.83945685,1980s,1,40.65924119,-73.83945685,LADDER 173
40.66026318-73.95315809,1900s,1,40.66026318,-73.95315809,ENGINE 249
40.66026318-73.95315809,2000s,1,40.66026318,-73.95315809,ENGINE 249
40.66095585-73.91793352,1940s,1,40.66095585,-73.91793352,"DIVISION 15, ENGINE 283"
40.66095585-73.91793352,1990s,1,40.66095585,-73.91793352,"DIVISION 15, ENGINE 283"
40.66357356-73.75984074,1970s,1,40.66357356,-73.75984074,ENGINE 311
40.66407703-73.74079653,1960s,1,40.66407703,-73.74079653,ENGINE 314
40.66486362-73.98150969,1890s,1,40.66486362,-73.98150969,"ENGINE 220, LADDER 122"
40.66486362-73.98150969,1940s,2,40.66486362,-73.98150969,"ENGINE 220, LADDER 122"
40.66486362-73.98150969,1960s,1,40.66486362,-73.98150969,"ENGINE 220, LADDER 122"
40.66486362-73.98150969,1970s,1,40.66486362,-73.98150969,"ENGINE 220, LADDER 122"
40.665118-73.89544589,1880s,1,40.665118,-73.89544589,"ENGINE 290, LADDER 103"
40.665118-73.89544589,1930s,1,40.665118,-73.89544589,"ENGINE 290, LADDER 103"
40.665118-73.89544589,1950s,1,40.665118,-73.89544589,"ENGINE 290, LADDER 103"
40.665118-73.89544589,2000s,1,40.665118,-73.89544589,"ENGINE 290, LADDER 103"
40.66940443-73.86533521,1990s,1,40.66940443,-73.86533521,BATTALION 39
40.67045598-73.93347784,1910s,2,40.67045598,-73.93347784,"ENGINE 234, LADDER 123"
40.67045598-73.93347784,1950s,1,40.67045598,-73.93347784,"ENGINE 234, LADDER 123"
40.67045598-73.93347784,1970s,1,40.67045598,-73.93347784,"ENGINE 234, LADDER 123"
40.67045598-73.93347784,1980s,1,40.67045598,-73.93347784,"ENGINE 234, LADDER 123"
40.67056969-73.90789059,1900s,1,40.67056969,-73.90789059,"BATTALION 44, ENGINE 231, LADDER 120"
40.67056969-73.90789059,1910s,1,40.67056969,-73.90789059,"BATTALION 44, ENGINE 231, LADDER 120"
40.67056969-73.90789059,1930s,1,40.67056969,-73.90789059,"BATTALION 44, ENGINE 231, LADDER 120"
40.67056969-73.90789059,1950s,1,40.67056969,-73.90789059,"BATTALION 44, ENGINE 231, LADDER 120"
40.67056969-73.90789059,1960s,1,40.67056969,-73.90789059,"BATTALION 44, ENGINE 231, LADDER 120"
40.67056969-73.90789059,1980s,1,40.67056969,-73.90789059,"BATTALION 44, ENGINE 231, LADDER 120"
40.6710872-73.91882149999999,1940s,1,40.6710872,-73.91882149999999,RESCUE 2
40.6710872-73.91882149999999,1950s,1,40.6710872,-73.91882149999999,RESCUE 2
40.6710872-73.91882149999999,1990s,1,40.6710872,-73.91882149999999,RESCUE 2
40.67174084-73.98714172,1890s,1,40.67174084,-73.98714172,ENGINE 239
40.67174084-73.98714172,1900s,1,40.67174084,-73.98714172,ENGINE 239
40.67174084-73.98714172,1930s,1,40.67174084,-73.98714172,ENGINE 239
40.67216107-73.99960963,1940s,2,40.67216107,-73.99960963,LADDER 131
40.67216107-73.99960963,1970s,1,40.67216107,-73.99960963,LADDER 131
40.67216107-73.99960963,1980s,1,40.67216107,-73.99960963,LADDER 131
40.67354231-73.96161058,1910s,1,40.67354231,-73.96161058,"ENGINE 280, LADDER 132"
40.67354231-73.96161058,1960s,2,40.67354231,-73.96161058,"ENGINE 280, LADDER 132"
40.67404876-73.79505209999999,1950s,1,40.67404876,-73.79505209999999,"ENGINE 302, LADDER 155"
40.67404876-73.79505209999999,1960s,1,40.67404876,-73.79505209999999,"ENGINE 302, LADDER 155"
40.67404876-73.79505209999999,2000s,1,40.67404876,-73.79505209999999,"ENGINE 302, LADDER 155"
